execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
74 1933 867 1922 -666 1927.5 867.0 1934.81818182 865.454545455 1968.18518519 -684.148148148 1951.5016835 90.6531986532 
75 1933 867 1921 -669 1927.0 867.0 1934.73913043 865.52173913 1961.18518519 -681.037037037 1947.96215781 92.2423510467 
76 1919 858 1908 -667 1913.5 858.0 1934.08333333 865.208333333 1959.28571429 -680.535714286 1946.68452381 92.3363095238 
77 1933 867 1921 -669 1927.0 867.0 1934.04 865.28 1957.96551724 -680.137931034 1946.00275862 92.5710344828 
78 1947 870 1920 -672 1933.5 870.0 1934.53846154 865.461538462 1956.7 -679.866666667 1945.61923077 92.7974358974 
79 1927 864 1941 -676 1934.0 864.0 1934.25925926 865.407407407 1956.19354839 -679.741935484 1945.22640382 92.8327359618 
80 1947 870 1935 -677 1941.0 870.0 1932.85185185 865.37037037 1953.51612903 -678.032258065 1943.18399044 93.6690561529 
81 1933 864 1921 -669 1927.0 864.0 1932.85714286 865.321428571 1949.48387097 -676.64516129 1941.17050691 94.3381336406 
82 1947 870 1935 -677 1941.0 870.0 1933.34482759 865.482758621 1941.5 -675.633333333 1937.42241379 94.9247126437 
83 1933 867 1922 -666 1927.5 867.0 1933.33333333 865.533333333 1938.53333333 -674.2 1935.93333333 95.6666666667 
84 1947 870 1935 -674 1941.0 870.0 1933.76666667 865.733333333 1939.43333333 -674.433333333 1936.6 95.65 
85 1920 862 1907 -664 1913.5 862.0 1933.3 865.566666667 1938.93333333 -674.266666667 1936.11666667 95.65 
86 1919 861 1908 -661 1913.5 861.0 1932.8 865.466666667 1938.93333333 -674.166666667 1935.86666667 95.65 
87 1933 864 1921 -669 1927.0 864.0 1931.8 865.033333333 1938.0 -673.966666667 1934.9 95.5333333333 
88 1928 868 1940 -676 1934.0 868.0 1932.06666667 865.133333333 1939.1 -674.466666667 1935.58333333 95.3333333333 
89 1920 862 1907 -661 1913.5 862.0 1931.6 865.166666667 1938.6 -674.2 1935.1 95.4833333333 
90 1948 874 1934 -673 1941.0 874.0 1932.03333333 865.466666667 1939.5 -674.6 1935.76666667 95.4333333333 
91 1933 861 1921 -672 1927.0 861.0 1932.5 865.566666667 1920.34615385 -668.923076923 1926.42307692 98.3217948718 
92 1921 -669 2044 864 1982.5 -669.0 1931.93103448 865.275862069 1920.34615385 -668.923076923 1926.13859416 98.1763925729 
93 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
94 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
95 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
96 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
97 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
98 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
