u v u_raw v_raw uestimate vestimate distance angle 
904.968398961 24.3394475301 908 25 905.485568101 24.4727441268 905.295648848 1.54061900196 
905.261859125 24.3373696849 903 25 909.897347175 24.3045481041 905.588947122 1.53998840178 
905.25134802 24.165012928 904 23 905.096789291 21.6306229622 905.573824125 1.52910517762 
905.089363261 23.7275372836 904 23 902.716305142 17.3185693002 905.400326659 1.5017041263 
904.691709942 23.8289463875 868 32 901.227139394 24.7124772861 905.005474416 1.50878188167 
904.152515392 23.4158918817 904 23 895.311790406 16.6433803847 904.455678893 1.48352399105 
903.569095566 23.4201901128 899 22 894.106554673 23.4899035276 903.87256611 1.4847538199 
903.737806713 23.3706474919 905 23 906.388104938 22.5923781096 904.039938524 1.48133793483 
902.955570411 23.6274256971 897 25 891.384758246 27.4256799767 903.264644156 1.49890312806 
903.071156626 23.7793274329 904 25 904.907862338 26.1930995922 903.384176495 1.50834221034 
902.441461712 23.6233778017 870 32 896.2096895 22.080023143 902.750605536 1.49949981919 
902.31835722 23.8828268776 902 27 900.567754871 27.5723117655 902.634370715 1.5161674991 
902.925159575 23.7623845917 909 22 912.023810186 21.9564221227 903.237784149 1.50751161084 
903.17509811 23.8903638368 906 24 907.057162443 25.8781472031 903.491011206 1.51520774818 
902.811897295 24.0172955865 900 25 896.875030288 26.0921172451 903.131304067 1.52386692226 
902.067947769 24.7407740472 897 24 891.552562405 34.9668102833 902.407163254 1.571042028 
900.848163185 24.6471400474 896 24 881.4420392 23.157472911 901.185272087 1.56721737202 
899.745487389 24.8665438072 896 21 888.050269373 27.1935875432 900.089043972 1.58309816121 
898.451630241 24.1499126485 886 22 878.37626455 13.0307310625 898.776140184 1.53971001555 
896.258092871 23.6357587652 881 20 862.035282489 15.6141079373 896.569695077 1.51063117484 
895.633514993 23.590005644 864 24 885.885752134 22.8759384462 895.944128585 1.50875923652 
892.793441416 23.2913231384 860 23 864.893003171 20.3571129591 893.097203427 1.49440153609 
892.793441416 23.5026295144 848 25 892.793441416 26.5810400128 893.102739123 1.50795299581 
883.402296747 23.8717796327 865 28 746.310831474 29.2606147967 883.724776026 1.54790117043 
870.37048248 23.6775164026 868 31 688.83985461 20.9714675445 870.69248392 1.55828727745 
869.309833044 24.3738403057 863 33 855.006295742 33.7642143391 869.651464621 1.60604694383 
865.888008059 25.5432228902 861 36 833.633549609 36.5659380064 866.264681686 1.68970415109 
862.558199319 26.6065140929 857 40 810.921853006 43.0952907919 862.968454698 1.76678831759 
862.869502468 29.4793246161 865 40 867.698045234 74.0387468116 863.372925722 1.95670862116 
862.141464469 31.9464387175 854 39 851.372351711 68.4399046917 862.733145129 2.12211003555 
860.737062065 35.2811516491 850 42 838.586174417 87.8777943819 861.459836367 2.34720939155 
859.30741139 36.5287607635 844 42 838.250349109 54.9045663277 860.083471317 2.43415158272 
859.30741139 38.0230438922 832 40 859.30741139 58.6225161032 860.14823091 2.53359828791 
856.306597539 40.0075803561 829 41 809.770107645 70.7836850038 857.240687016 2.6749762199 
853.187205237 39.5002538929 821 37 804.87585596 31.6430741638 854.101093102 2.65074639132 
843.592869868 40.5674590805 794 45 695.204849541 57.0730802599 844.567728977 2.75317044573 
841.147448644 40.5674590805 803 37 809.019811278 40.5674590805 842.12513862 2.76116221622 
835.297890691 39.755164458 802 34 748.111673339 27.6481136227 836.243409118 2.72487888686 
827.29957146 39.7189229822 810 36 718.301137336 39.225036204 828.252481904 2.74867851518 
818.709132521 39.3036746442 817 35 703.703575577 33.7444864909 819.65201306 2.74848171762 
812.741015278 37.3189406093 808 35 731.172491931 10.192827318 813.597358184 2.62902561459 
810.032659198 37.3189406093 787 44 768.729707762 37.3189406093 810.89186227 2.6378034055 
808.994172658 36.8779686273 815 37 792.65295491 29.939006103 809.834276853 2.61001906973 
808.300324346 36.3076489365 812 37 799.112022793 28.7551778718 809.115356244 2.57191240927 
806.312047795 35.7548832439 803 35 775.949917182 27.3138320494 807.104410901 2.53904518216 
806.312047795 36.278210821 791 38 806.312047795 44.3636725586 807.12776374 2.5761582987 
806.973275631 35.6815871264 792 34 813.58538013 29.7155070537 807.761749059 2.53177351665 
802.530796286 35.7930221674 786 35 734.195762567 37.507136448 803.328587455 2.55371001645 
796.283520705 35.6796313607 779 35 699.554830929 33.9239629861 797.082480952 2.56557589769 
794.504222685 35.8936806949 767 37 767.165242125 39.1825567129 795.314602015 2.58671876313 
789.653334221 36.2480316429 766 36 724.137592145 41.0338694304 790.484856303 2.62824486079 
786.295460294 36.0015082347 753 46 734.250288116 32.1805329665 787.119215541 2.62152710756 
778.907152008 36.3210888314 771 40 669.267689287 41.0635337273 779.753533459 2.66981589708 
778.181787831 36.551497393 773 42 770.976607079 38.8401895939 779.039733822 2.68922825357 
772.903987499 38.080433098 768 42 698.700155922 59.5766778196 773.841516899 2.82064169506 
770.294966232 39.3620951084 768 43 734.727710652 56.8342410341 771.300012663 2.92527159586 
769.254380904 40.7864512915 772 44 756.130565026 58.7503681343 770.334886364 3.03502383691 
769.346689841 42.3371856883 770 43 770.617414795 63.6845977207 770.51071794 3.14981255913 
768.824274395 42.3371856883 761 45 761.500358374 42.3371856883 769.989092254 3.15194854005 
767.936356171 42.2878142337 754 42 755.457349966 41.5939364958 769.099802601 3.15191312783 
768.273326596 42.6609269062 749 39 773.000926131 47.8955919211 769.456859768 3.17827442022 
764.971669615 42.6609269062 705 45 720.844376885 42.6609269062 766.160303069 3.19196371114 
764.241220798 42.8510285061 719 44 754.766482224 45.316858992 765.441607316 3.20921581975 
762.999076545 42.9935395644 710 41 745.634377654 44.9857893467 764.209418454 3.22509720249 
746.005418787 42.8778430751 712 31 513.834191712 41.2971712578 747.236638747 3.28954646424 
736.077827218 42.8629196432 718 29 599.326103398 42.6573506461 737.324757215 3.33265595869 
724.099227949 40.8124324572 695 36 556.39228073 12.1044893538 725.24847229 3.22595104084 
713.420652912 40.3849342836 717 26 568.897436514 34.5991987495 714.562783048 3.23991109455 
712.083819687 37.8859452868 704 28 694.941489014 5.841188354 713.090955707 3.04551230353 
712.083819687 34.1213684684 695 26 712.083819687 -24.1407367839 712.900858498 2.74337951402 
707.718622878 29.3458840901 695 24 640.055864548 -44.6765390735 708.326781988 2.37443609327 
703.893413465 28.564287246 671 23 644.645775282 16.4583442696 704.472750378 2.32381150913 
701.751250222 28.7846220367 675 33 668.593026588 32.1951512256 702.341349811 2.34885701058 
697.064827711 27.2945030977 681 23 631.895496161 6.5729281723 697.598999377 2.24234713537 
688.270036648 27.343704886 652 31 551.598540374 28.108303156 688.812980093 2.27505969844 
683.511257978 25.9246707483 671 21 618.83132793 6.63757313032 684.002725386 2.17211134063 
681.52789298 25.0242384936 658 20 652.214837573 11.7163397488 681.987156346 2.10283312581 
671.014753364 24.1824653542 652 20 506.387018714 11.0009410813 671.450363663 2.06396926177 
665.32278838 23.6750205332 629 25 575.402035239 15.658488349 665.743884189 2.03796814462 
665.32278838 22.2532855165 632 16 665.32278838 0.677346430096 665.69484109 1.9156779477 
660.602333104 21.9514976762 634 17 590.171816225 17.4487384426 660.966951332 1.90321088208 
645.786883008 20.915219364 616 16 518.287055597 11.9971436325 646.12548678 1.85500061374 
643.112778327 19.710438349 617 15 604.73990221 2.42206779029 643.414755059 1.75547985353 
640.125128463 19.2691749349 608 26 593.228508698 12.3427399502 640.415085075 1.72420837325 
630.163511258 18.3562363672 609 15 475.76726343 4.20649677528 630.430806936 1.66851544457 
624.166202239 17.0226622188 617 13 532.466504056 -3.36787402392 624.398285589 1.56222011145 
624.287363132 16.0285963688 625 10 626.171755479 0.56807914623 624.493096574 1.4707477014 
620.976010237 14.576636039 622 4 570.306168803 -7.64105020798 621.147070836 1.3446998951 
620.378056515 14.576636039 625 -2 612.936047125 14.576636039 620.549281946 1.34599551258 
620.378056515 12.8537104022 629 -11 620.378056515 -13.8701442487 620.511201249 1.18695042916 
620.378056515 10.0865824607 632 -21 620.378056515 -31.7816597277 620.460048795 0.931476674483 
620.515787703 6.35212201396 617 -22 622.60587961 -50.3188880539 620.548299686 0.586507349598 
622.420487654 -1.89956703405 638 -45 640.934289479 -82.1064970723 622.423386295 -0.174860625906 
623.834589148 -7.15047475165 640 -53 646.459202028 -91.1612440899 623.875567647 -0.656703061164 
628.433374225 -10.5202754098 646 -63 700.576119138 -63.3835132398 628.521425279 -0.959069182581 
631.444168275 -25.4637748784 642 -69 672.006040174 -226.784855384 631.957388974 -2.30927263984 
634.237841306 -35.6251356528 647 -77 678.594760851 -196.963508954 635.237585187 -3.21492532065 
637.530475097 -49.4569366309 645 -102 684.756040707 -247.843597886 639.44592833 -4.43588178186 
639.233583305 -61.4626648382 643 -122 654.30326822 -167.693461185 642.1816201 -5.49213780666 
641.666806404 -61.4626648382 643 -111 674.15802484 -61.4626648382 644.603715169 -5.47143804797 
643.218551967 -72.3462168541 645 -111 661.837728131 -202.936422575 647.274347311 -6.4173907259 
643.218551967 -79.5836361818 626 -89 643.218551967 -175.031408612 648.123183309 -7.05320151306 
643.901947742 -82.3421179802 644 -76 653.41980146 -120.760304351 649.145548162 -7.28742602084 
644.416835715 -82.3421179802 629 -63 651.631191144 -82.3421179802 649.65628031 -7.28166589874 
643.498609183 -83.1142544314 639 -73 630.463293655 -94.0756478562 648.843925231 -7.35957618397 
643.122805907 -83.1142544314 627 -60 637.759331504 -83.1142544314 648.471219691 -7.36382950104 
639.996868284 -84.7474721362 631 -61 599.233128875 -106.045421407 645.583554195 -7.54314080595 
635.174678607 -70.3161833734 622 -57 568.405152544 129.503893347 639.054956939 -6.31713211956 
633.979358234 -70.3161833734 1029 -104 622.598000128 -70.3161833734 637.866907992 -6.32894603798 
632.775231665 -66.9280320141 632 -57 615.912056147 -19.4787085813 636.304844613 -6.03767200088 
631.154473196 -62.7463291161 630 -55 608.622843149 -4.61269321308 634.265773043 -5.67741468261 
635.415870976 -61.761254181 664 -54 694.056008708 -48.2058592482 638.410355184 -5.55160533682 
629.92865664 -60.0292035153 597 -38 560.599370496 -38.1452695431 632.782441074 -5.44357682654 
628.522711558 -58.3251441886 617 -50 608.342646056 -33.8661313452 631.223115379 -5.30170415151 
625.436996076 -54.3132704249 611 -41 581.856021521 2.34826218685 627.790862791 -4.96314380927 
623.82261805 -53.6961908383 613 -55 601.593459569 -45.1993210163 626.12933145 -4.91966857527 
624.494352616 -54.5786774003 637 -68 634.07805866 -67.1692038215 626.874810848 -4.9947646527 
627.564297691 -59.1337401443 649 -75 670.565919952 -122.93784175 630.34414962 -5.382937448 
625.884264293 -54.1914489186 643 -71 602.060805193 15.8919631401 628.225935015 -4.94854592569 
628.439710223 -58.5895816409 665 -89 660.959439924 -114.558712386 631.16496137 -5.32630271899 
