u v u_raw v_raw uestimate vestimate distance angle 
1197.09311183 -6.1525873522 1193 -5 1177.707411 5.14943851645 1197.10892266 -0.294475158994 
1194.74637373 -5.89817940672 1190 -5 1170.84017589 -3.3065281766 1194.7609326 -0.282853372814 
1195.77308339 -5.17579645327 1209 -5 1210.65968534 5.29827226927 1195.78428482 -0.247998089735 
1195.75645253 -5.58869920776 1199 -8 1195.51234716 -11.6492289899 1195.76951263 -0.267785756336 
1195.31322723 -5.58923380665 1191 -7 1188.97187531 -5.59688246681 1195.32629467 -0.267910675296 
1193.32949308 -5.34675694305 1194 -9 1168.20344218 -2.27553592144 1193.34147119 -0.256714142011 
1192.40063326 -5.33773792696 1192 -5 1179.51108743 -5.21258338982 1192.41258029 -0.256480753233 
1194.26028224 -5.56847671591 1203 -7 1221.9478122 -9.00384929795 1194.27326424 -0.26715106144 
1194.29137867 -6.6590936748 1201 -6 1194.74581532 -22.5971413844 1194.30994331 -0.319464760387 
1196.96342222 -5.74908735 1207 -6 1241.4602918 9.40501920045 1196.97722875 -0.275192960887 
1199.57032994 -6.59314551406 1201 -7 1241.96019711 -20.3180323862 1199.58844861 -0.314909095718 
1200.98894704 -6.59314551406 1201 -5 1214.9859628 -6.59314551406 1201.00704431 -0.314537130222 
1199.26349703 -6.4929719038 1196 -6 1175.92276127 -5.13789018287 1199.28107381 -0.310203931482 
1199.30654025 -6.42252348973 1206 -6 1200.01430384 -5.26413371043 1199.32373707 -0.306827287104 
1200.47584082 -6.32621658611 1201 -8 1219.50791376 -4.75868120726 1200.49250952 -0.301932069881 
1202.15029432 -6.32621658611 1210 -8 1225.52623229 -6.32621658611 1202.1669398 -0.301511521908 
1202.41739995 -6.27904776369 1204 -6 1206.88426734 -5.49023298643 1202.4337945 -0.299196989418 
1201.83810146 -6.62363371876 1199 -10 1195.81879311 -10.2041179126 1201.85635358 -0.315768333832 
1201.97710074 -6.74950081172 1195 -7 1203.8204208 -8.41867006515 1201.99605094 -0.321731458538 
1201.15606373 -6.74774504173 1201 -6 1190.28758075 -6.72450302469 1201.17501701 -0.321867621396 
1200.48372317 -6.74877719637 1197 -7 1190.7281536 -6.76375361905 1200.50269287 -0.322097142488 
1199.15620779 -6.88312722632 1196 -8 1179.6195508 -8.86031746821 1199.17596212 -0.328872757571 
